time,sentiment,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,open,close,high,low,volume_24h,market_cap,circulating_supply,galaxy_score,volatility,alt_rank
2024-01-03,91,45,9,71,12,20812,0.015369129695972638,,,,,,,,,,
2024-01-04,80,48,21,58,25,13266,0.012478055832845685,,,,,,,,,,
2024-01-05,86,54,15,62,15,35792,0.012801030689438737,,,,,,,,,,
2024-01-06,79,54,20,58,24,30828,0.012117413558967931,,,,,,,,,,
2024-01-07,67,46,12,54,12,37103,0.01232322448579064,0.0881528504,0.0896423178,0.0896423178,0.0875555938,10889275.54,,,,,
2024-01-08,71,45,16,48,19,15483,0.010702746815375388,0.131117997,0.1309743681,0.1372669895,0.1308205849,37181669.18,130832938.4,,,,
2024-01-09,81,68,34,73,37,18261,0.014492753623188406,0.1211690971,0.1297026636,0.1311538155,0.1211690971,36341849.37,129562607.17,,,,
2024-01-10,82,65,26,73,30,36037,0.013544629554381689,0.1985802918,0.1737203814,0.210250331,0.1729665657,100408332.92,173532793.44,,,,
2024-01-11,75,117,77,159,113,81786,0.027419702522095277,0.2706290097,0.2774391012,0.2845319719,0.2693676121,133464389.2,277139514.98,,,,
2024-01-12,67,142,59,171,63,6074421,0.032993239280091374,0.2013565875,0.2128677816,0.2128677816,0.1996467689,80592524.42,212637921.16,,,,
2024-01-13,76,141,59,154,61,72595,0.035004455112468864,0.279361553,0.2756896257,0.2896242765,0.2735046112,58315101.36,275391928.58,,,,
2024-01-14,74,132,48,152,59,102299,0.038307417021598324,0.3704960452,0.317372766,0.3743001248,0.3146282135,106823665.62,317030058.28,,,,
2024-01-15,80,117,37,155,59,94305,0.04099824104320686,0.2933273437,0.2964556542,0.3023546877,0.2843278987,108257159.16,296135533.32,,,,
2024-01-16,84,82,16,102,19,71530,0.02832963474213089,0.3006631613,0.2924816216,0.3012061309,0.290258553,78286269.62,292165792.02,,,,
2024-01-17,78,88,49,99,53,75065,0.02559329920893439,0.4030645009,0.4306984465,0.4344322855,0.4014772237,109398848.59,430233366.61,,,,
2024-01-18,83,203,140,227,162,75631,0.06235441480244363,0.3755185438,0.3631618313,0.3759662412,0.3548063006,157512862.39,362769679.27,,,,
2024-01-19,91,432,293,470,306,74641,0.14404452508213603,0.3619793475,0.3992514124,0.413479505,0.3205293338,88145140.41,398820289.89,,,,
2024-01-20,92,316,25,344,37,75430,0.11041353721321367,0.3994070255,0.3350143301,0.4030621373,0.3298589355,43294653.45,334652572.57,,,,
2024-01-21,85,137,40,160,54,162465,0.056748254104494814,0.3351779276,0.2984811151,0.3442847346,0.2984811151,44241329.26,298158807.07,,,,
2024-01-22,85,98,28,140,52,196165,0.04934077204210882,0.2986605934,0.2314635733,0.3063870794,0.228764951,93719096.11,231213632.69,,,,
2024-01-23,80,104,39,122,44,91200,0.03777744748315497,0.2315442153,0.281657324,0.281657324,0.2085170336,94751711.1,281353182.81,,,,
2024-01-24,84,135,49,177,66,125123,0.06562166330525566,0.2814609853,0.3505836943,0.3530014362,0.2766493897,122723482.65,350205124.55,998920172.89,91.0,0.039015720605643164,80.0
2024-01-25,85,177,80,225,111,146397,0.0944041420341785,0.3505444767895375,0.3825115367,0.4068941976,0.328103364,78882031.23,382098490.37,998920172.89,77.0,0.06497715610674848,33.0
2024-01-26,85,188,69,268,97,86309,0.09452662617541038,0.3835671491496794,0.3510016195,0.3854852387,0.3450965611,67052155.69,350622598.41,998920172.89,44.0,0.0444793797082184,950.0
2024-01-27,83,141,49,178,57,19405,0.05331831633936809,0.3508616173,0.3446464585,0.36431933123825744,0.301763853,58155386.83,344274299.88,998920172.89,48.0,0.06370922180994187,869.0
2024-01-28,80,204,37,273,52,52581,0.0741432784908448,0.3448952325,0.330759748,0.3716256845240855,0.3167941972,52114459.6,330402584.62,998920172.89,51.0,0.045041783559635,659.0
2024-01-29,80,214,46,282,58,76349,0.06753666019240764,0.33041000845375856,0.313642156,0.3308163718,0.2941974507,60553285.71,313303476.73,998920172.89,61.0,0.05319911232955207,880.0
2024-01-30,78,194,28,260,33,65785,0.0602743409812199,0.31356770413437846,0.2820484768,0.3423059526,0.2810064377,62373638.15,281743913.26,998920172.89,48.0,0.03527423747483103,1112.0
2024-01-31,82,184,25,244,31,54931,0.05625943901961011,0.2823143967,0.2512783819,0.28436154,0.2437591493,62939276.44,251007044.65,998920172.89,50.0,0.08088655125107132,1640.0
2024-02-01,77,213,42,301,51,91166,0.12183817785135743,0.2510838677463723,0.2277063658,0.2521641744,0.2140324716,79428656.01,227460482.27,998920172.89,59.0,0.09221804851729588,959.0
2024-02-02,77,199,38,288,51,264911,0.05044418910966006,0.227416973,0.2604490228,0.2730428037,0.2058630224,69678293.08,260167782.85,998920172.89,38.0,0.05085941669929925,171.0
2024-02-03,74,628,493,1048,874,2911057,0.18213733293939763,0.2608472827663984,0.2427952349,0.2774713124,0.2366088379251585,57944396.64,242533057.99,998920172.89,57.0,0.07002092427899875,687.0
2024-02-04,76,759,328,1443,645,1104608,0.27267213018724246,0.2428312102,0.2122746683,0.2428312102,0.2112901265,35309873.4,212045448.33,998920172.89,37.0,0.06347072421195232,825.0
2024-02-05,74,811,244,1511,406,795298,0.27387427883700405,0.2119873073,0.2125748167,0.2241893942,0.2039867436,37135674.62,212345272.62,998920172.89,36.0,0.03863963736169813,253.0
2024-02-06,79,601,178,1127,305,541497,0.19940444068558325,0.2126501419095837,0.1901136905,0.2134479936,0.1897378925,27773842.53,189908400.55,998920172.89,44.0,0.038502845059252014,731.0
2024-02-07,81,442,117,756,168,218051,0.13016506514279416,0.1901780452,0.2158697106,0.23888163557744893,0.1717778609,60730494.29,215636608.6,998920172.89,36.0,0.06918586495404097,12.0
2024-02-08,81,347,93,587,141,303530,0.10709196956179864,0.2159526918,0.2194257924,0.2420773094,0.21088808547990676,45729689.75,219188850.5,998920172.89,41.0,0.1044,64.0
2024-02-09,84,284,96,464,133,147188,0.09136879913042109,0.2194646133961919,0.2499593058,0.2634848347348195,0.215004192,42386176.48,249689392.95,998920172.89,39.0,0.0517,110.0
2024-02-10,82,295,101,528,170,127640,0.10068669085944099,0.25019302325670195,0.3168813064,0.3377775787182821,0.25019302325670195,56427891.99,316539129.38,998920172.89,40.0,0.1441,29.0
