DEX,Pool ID,Type,Base Token Price (USD),Quote Token Price (USD),Pair Name (Base/Quote),Token Price (USD),FDV (USD),Market Cap (USD),Price Change (24h),Transactions (24h) Buys,Transactions (24h) Sells,Volume (24h) USD,Reserve (USD)
orca,solana_D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1,pool,2.29,179.36,$WIF / SOL,2.29,2283515919.00,2287925337.57,-3.40,8444,12731,9371010.21,1465583.81
meteora,solana_8WBdqT2pE3P6yDVCFTxknQL3wLRj8g8ZWoNZiXHBUHBL,pool,2.28,179.49,$WIF / SOL,2.28,2277810897.00,2287925337.57,-3.47,1382,517,5845157.26,5086102.83
raydium,solana_EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,pool,2.28,179.36,$WIF / SOL,2.28,2281328723.00,2287925337.57,-3.49,1554,687,5048564.31,19637547.78
orca,solana_CZrvf5cCAf7BoTqLkMEsT2czJobx4zfppHez2gaJwHaF,pool,2.28,179.36,$WIF / SOL,2.28,2280967425.00,2287925337.57,-3.49,1641,1324,831757.90,2050740.41
orca,solana_56Ekyu6uBpTna3LR2qkjHjNbDNkCLWK2Lt3uWh7J2R8Z,pool,0.00,2.29,BONK / $WIF,2.29,2286785557.00,2287925337.57,-3.25,1316,997,687889.68,283004.94
orca,solana_7tRLgwJyLSkP4XaW2M75mWnSRhA25rP9rZT5ezitZPX2,pool,0.06,2.29,MOTHER / $WIF,2.29,2286785557.00,2287925337.57,-3.25,2203,1643,424189.20,120693.56
raydium-clmm,solana_BuavWdfsNTfmEQbnPt2PLc51B7pifRNhqNiDUtGLeNNn,pool,2.28,179.36,$WIF / SOL 0.05%,2.28,2281290194.00,2287925337.57,-3.49,2180,2255,262348.38,62364.47
orca,solana_CN8M75cH57DuZNzW5wSUpTXtMrSfXBFScJoQxVCgAXes,pool,2.28,1.00,$WIF / USDC,2.28,2277208606.00,2287925337.57,-3.72,732,1411,237405.31,470696.87
meteora,solana_9zCmxjttNvupyCtyt46v5tK3nCHCkY5rjYNrUeMp1eNe,pool,2.30,179.81,$WIF / SOL,2.30,2295914031.00,2287925337.57,-2.52,829,676,223281.61,49140.75
orca,solana_4E6q7eJE6vBNdquqzYYi5gvzd5MNpwiQKhjbRTRQGuQd,pool,2.29,179.36,$WIF / SOL,2.29,2283560120.00,2287925337.57,-3.60,2897,2833,157666.73,280359.07
orca,solana_CyJG5PGm5hKrdnmszBUJQfjpSHVJqwUSYffXyTyTAyXv,pool,0.73,2.30,POPCAT / $WIF,2.30,2292884765.00,2287925337.57,-3.30,162,175,145332.37,260378.47
orca,solana_BWB9XA6Gic4iAsaQjX8ssszHLBX8CGurVm4sGWZa2nwb,pool,0.02,2.29,SC / $WIF,2.29,2291686280.00,2287925337.57,-3.30,187,203,130696.27,508536.75
orca,solana_A6cVoMU1Z7oRi9R774QarVxHUmHPQkxQfYVFGNQuAx2b,pool,2.28,179.36,$WIF / SOL,2.28,2280224889.00,2287925337.57,-3.56,308,386,115028.29,500167.63
meteora,solana_9gU2vjsRXTTCUKQLmUe7WfVAAusPxxAc7idi6xd6u3KC,pool,2.30,0.73,$WIF / POPCAT,2.30,2295745045.00,2287925337.57,-3.12,412,403,110058.36,31817.60
meteora,solana_7Xow93z9TN5XvEEcyd1eMnMezUEmdyB9qnfvkZL6SKi4,pool,2.29,1.00,$WIF / USDC,2.29,2285831519.00,2287925337.57,-3.23,1328,1365,82974.24,25711.09
meteora,solana_6HhdZZWE4uNhRvdhgD8J8rxmwCxPV6kDw3niTUJUwb1T,pool,2.30,0.00,$WIF / BONK,2.30,2295878986.00,2287925337.57,-2.97,155,128,32052.80,48549.27
meteora,solana_29y7LqsfAdu6eLB4xLi7ohzvFj8xv9v76fG3RPkHGN84,pool,2.29,179.52,$WIF / SOL,2.29,2284191032.00,2287925337.57,-2.84,75,87,28615.45,61704.83
orca,solana_3gpyRVcdbH6Jy1AR5Xz5hypNGyGWECLXM5eaA79z4GdQ,pool,0.00,2.29,BONK / $WIF,2.29,2289840049.00,2287925337.57,-3.30,378,320,28002.99,128994.13
meteora,solana_8Ve9KtGNtLRxCQNAVfkHEP5GRZHjdj6BjB1RQFZewG6V,pool,2.29,179.48,$WIF / SOL,2.29,2283684882.00,2287925337.57,-3.33,70,59,13022.27,214033.28
meteora,solana_BHP1k9xNruSkB6bCFnJPFBSTquchwDWSL6M5qLX5Vdh6,pool,0.20,2.29,$michi / $WIF,2.29,2290691787.00,2287925337.57,-3.70,47,11,12492.01,41096.29
