time,posts_created,posts_active,interactions,contributors_created,contributors_active,sentiment,spam
2024-07-24 00:00:00,3.0,472,2963,3.0,371,82,
2024-07-24 01:00:00,,469,2991,,372,79,
2024-07-24 02:00:00,2.0,465,2978,2.0,366,81,
2024-07-24 03:00:00,1.0,468,3220,1.0,366,79,
2024-07-24 04:00:00,4.0,454,3579,4.0,363,77,
2024-07-24 05:00:00,2.0,479,3798,2.0,390,81,
2024-07-24 06:00:00,,452,5159,,357,79,
2024-07-24 07:00:00,2.0,455,3821,2.0,358,79,
2024-07-24 08:00:00,5.0,487,4174,5.0,379,79,
2024-07-24 09:00:00,5.0,492,4096,5.0,393,78,
2024-07-24 10:00:00,6.0,508,46479,5.0,402,82,
2024-07-24 11:00:00,14.0,556,31459,14.0,432,77,
2024-07-24 12:00:00,6.0,723,10447,5.0,535,78,
2024-07-24 13:00:00,4.0,349,6812,4.0,293,79,
2024-07-24 14:00:00,2.0,364,7622,2.0,301,81,
2024-07-24 15:00:00,5.0,340,8275,5.0,290,79,
2024-07-24 16:00:00,6.0,329,7748,6.0,281,82,
2024-07-24 17:00:00,4.0,307,6120,4.0,271,85,
2024-07-24 18:00:00,8.0,343,4822,4.0,283,81,
2024-07-24 19:00:00,8.0,431,30107,4.0,342,82,
2024-07-24 20:00:00,8.0,316,4747,6.0,267,77,
2024-07-24 21:00:00,5.0,316,20321,4.0,271,86,
2024-07-24 22:00:00,2.0,304,3898,2.0,260,82,
2024-07-24 23:00:00,6.0,354,3771,6.0,289,83,
2024-07-25 00:00:00,1.0,327,18980,1.0,276,81,
2024-07-25 01:00:00,3.0,306,3219,3.0,261,86,
2024-07-25 02:00:00,1.0,303,2890,1.0,254,83,
2024-07-25 03:00:00,1.0,299,2615,1.0,252,79,
2024-07-25 04:00:00,2.0,328,3037,2.0,271,80,
2024-07-25 05:00:00,5.0,318,2793,3.0,269,79,
2024-07-25 06:00:00,3.0,321,3279,3.0,264,84,
2024-07-25 07:00:00,5.0,342,3581,4.0,287,82,
2024-07-25 08:00:00,3.0,323,3621,3.0,268,86,
2024-07-25 09:00:00,4.0,405,4704,4.0,310,83,
2024-07-25 10:00:00,5.0,308,5991,5.0,255,82,
2024-07-25 11:00:00,8.0,314,7259,8.0,262,76,
2024-07-25 12:00:00,5.0,348,9088,2.0,258,62,
2024-07-25 13:00:00,61.0,339,9683,9.0,269,69,
2024-07-25 14:00:00,5.0,459,17210,5.0,309,71,
2024-07-25 15:00:00,6.0,346,10225,6.0,266,69,
2024-07-25 16:00:00,3.0,358,11001,3.0,266,66,
2024-07-25 17:00:00,3.0,361,11911,3.0,260,62,
2024-07-25 18:00:00,3.0,362,11940,3.0,272,66,
2024-07-25 19:00:00,4.0,367,11858,4.0,278,63,
2024-07-25 20:00:00,,488,9767,,340,64,
2024-07-25 21:00:00,1.0,304,11509,1.0,227,64,
2024-07-25 22:00:00,2.0,274,10135,2.0,203,63,
2024-07-25 23:00:00,5.0,302,10918,5.0,228,63,
2024-07-26 00:00:00,1.0,305,9670,1.0,230,63,
2024-07-26 01:00:00,1.0,304,9204,1.0,225,63,
2024-07-26 02:00:00,4.0,299,10319,4.0,231,63,
2024-07-26 03:00:00,1.0,274,10390,1.0,215,65,
2024-07-26 04:00:00,,411,10857,,303,72,
2024-07-26 05:00:00,3.0,242,7327,3.0,203,77,
2024-07-26 06:00:00,2.0,234,13758,2.0,194,74,
2024-07-26 07:00:00,1.0,222,3406,1.0,187,78,
2024-07-26 08:00:00,,245,2200,,202,79,
2024-07-26 09:00:00,5.0,239,2180,5.0,197,79,
2024-07-26 10:00:00,6.0,318,2381,3.0,253,85,
2024-07-26 11:00:00,3.0,215,2044,2.0,187,84,
2024-07-26 12:00:00,,222,2290,,184,73,
2024-07-26 13:00:00,2.0,219,11073,1.0,163,68,
2024-07-26 14:00:00,3.0,247,11049,3.0,183,68,
2024-07-26 15:00:00,4.0,211,6879,3.0,164,64,
2024-07-26 16:00:00,6.0,227,9609,6.0,183,72,
2024-07-26 17:00:00,6.0,229,5257,6.0,184,72,
2024-07-26 18:00:00,3.0,237,14218,3.0,200,69,
2024-07-26 19:00:00,10.0,228,17098,9.0,184,68,
2024-07-26 20:00:00,17.0,252,8761,12.0,205,74,
2024-07-26 21:00:00,10.0,226,10352,9.0,192,74,
2024-07-26 22:00:00,3.0,232,9566,2.0,199,77,
2024-07-26 23:00:00,3.0,244,22132,3.0,200,67,
2024-07-27 00:00:00,1.0,213,17911,1.0,184,69,
2024-07-27 01:00:00,1.0,255,13996,1.0,207,73,
2024-07-27 02:00:00,2.0,222,12595,2.0,184,74,
2024-07-27 03:00:00,1.0,230,8705,1.0,192,82,
2024-07-27 04:00:00,2.0,234,8358,2.0,194,74,
2024-07-27 05:00:00,6.0,280,7870,5.0,236,70,
2024-07-27 06:00:00,5.0,220,7414,5.0,190,73,
2024-07-27 07:00:00,4.0,229,5768,4.0,197,77,
2024-07-27 08:00:00,2.0,239,8522,2.0,203,78,
2024-07-27 09:00:00,3.0,254,16085,3.0,208,78,
2024-07-27 10:00:00,4.0,265,11855,4.0,231,82,
2024-07-27 11:00:00,15.0,282,17158,14.0,240,78,
2024-07-27 12:00:00,268.0,312,22086,258.0,497,73,
2024-07-27 13:00:00,212.0,695,18695,207.0,649,60,
2024-07-27 14:00:00,26.0,432,16749,26.0,341,64,
2024-07-27 15:00:00,14.0,364,12685,14.0,289,63,
2024-07-27 16:00:00,13.0,359,7619,10.0,294,67,
2024-07-27 17:00:00,4.0,342,7818,4.0,288,72,
2024-07-27 18:00:00,3.0,377,8372,3.0,313,72,
2024-07-27 19:00:00,6.0,362,7950,6.0,304,73,
2024-07-27 20:00:00,3.0,612,20273,3.0,480,77,
